pasangan,prareg,alpha_median,phi_median,n_subjek
mamba2 vs gru,True,0.5790935437896976,0.7711361149317361,77
mamba2 vs mamba3,False,0.26402730694180365,0.4876418082459491,77
gru vs mamba3,False,0.25861663661991724,0.4624717686644739,77
