arm_a,arm_b,selisih,ci_bawah,ci_atas,t,df,p_welch,alfa,primer,nyata,n_seed,auc_a,sb_a,auc_b,sb_b
mamba2,gru,0.05050691244239636,0.015921778921186826,0.0850920459636059,3.6509002106303146,5.515334455166607,0.012400806129814684,0.05,True,True,5,0.9375115207373271,0.012542691860795614,0.8870046082949308,0.02827706246169035
mamba3,gru,0.032995391705069155,-0.0038964061769967626,0.06988718958713508,2.092172505399526,7.395387361351546,0.0726110224763592,0.025,False,False,5,0.9199999999999999,0.02107155140014543,0.8870046082949308,0.02827706246169035
mamba2,mamba3,0.017511520737327202,-0.008813849726296067,0.04383689120095047,1.5968078058455095,6.518361729679403,0.157489608613905,0.025,False,False,5,0.9375115207373271,0.012542691860795614,0.9199999999999999,0.02107155140014543
mamba2,gru,0.03483870967741909,0.012540292851128055,0.057137126503710126,3.369631776465134,13.219786904714033,0.004921673675227496,0.05,True,True,10,0.9306912442396312,0.014597299048011459,0.8958525345622121,0.029255313934543573
mamba3,gru,0.027465437788018354,0.00409770735202631,0.0508331682240104,2.5007995841740884,15.310345623927352,0.02419669458982048,0.025,False,True,10,0.9233179723502305,0.018716713394055656,0.8958525345622121,0.029255313934543573
mamba2,mamba3,0.007373271889400734,-0.00846353009552937,0.023210073874330838,0.9823204302033725,16.99182356442178,0.33972309194533906,0.025,False,False,10,0.9306912442396312,0.014597299048011459,0.9233179723502305,0.018716713394055656
