arsitektur,peta,selisih,p_permutasi,lolos_ambang_pinjaman,n_pd,n_hc
gru,alpha,-0.006373251484141675,0.8148370325934813,False,57,15
gru,phi,-0.008004230554471612,0.7296540691861627,False,57,15
mamba2,alpha,0.04389901673089169,0.2553489302139572,False,57,15
mamba2,phi,-0.00039069965340300314,1.0,False,57,15
mamba3,alpha,0.010233451583739348,0.7110577884423115,False,57,15
mamba3,phi,0.006816811550237275,0.7204559088182364,False,57,15
