model,auc_newhandpd,sb
random_forest,0.8956682027649769,0.0021017058527173197
gru,0.8870046082949308,0.02827706246169035
mamba2,0.9375115207373271,0.012542691860795614
mamba3,0.9199999999999999,0.02107155140014543
