keluarga,arm_a,arm_b,auc_a,auc_b,selisih,t,p_welch,nyata_05,n_a,n_b,peringkat
spiral,mamba2,gru,0.9306912442396312,0.8958525345622121,0.03483870967741909,3.369631776465134,0.004921673675227496,True,10,10,mamba2 > mamba3 > gru
spiral,mamba3,gru,0.9233179723502305,0.8958525345622121,0.027465437788018354,2.5007995841740884,0.02419669458982048,True,10,10,mamba2 > mamba3 > gru
spiral,mamba2,mamba3,0.9306912442396312,0.9233179723502305,0.007373271889400734,0.9823204302033725,0.33972309194533906,False,10,10,mamba2 > mamba3 > gru
meander,mamba2,gru,0.9026728110599078,0.8729953917050691,0.029677419354838697,2.126907315680184,0.07127463816430611,False,5,5,mamba2 > mamba3 > gru
meander,mamba3,gru,0.9008294930875576,0.8729953917050691,0.02783410138248843,1.765206759173178,0.11581380584336688,False,5,5,mamba2 > mamba3 > gru
meander,mamba2,mamba3,0.9026728110599078,0.9008294930875576,0.0018433179723502668,0.140158609131173,0.8923285160173665,False,5,5,mamba2 > mamba3 > gru
dia,mamba2,gru,0.8862672811059908,0.8516129032258066,0.03465437788018422,2.3575637044495292,0.04697499906927746,True,5,5,mamba2 > gru > mamba3
dia,mamba3,gru,0.8302304147465438,0.8516129032258066,-0.02138248847926283,-0.9306542885182433,0.38639388385472767,False,5,5,mamba2 > gru > mamba3
dia,mamba2,mamba3,0.8862672811059908,0.8302304147465438,0.056036866359447046,2.52632548219523,0.04689441834544632,True,5,5,mamba2 > gru > mamba3
