suku,koef,se,t,p,r2,df,n,n_seed
konstanta,-1.2361638499067122,0.2905888804202817,-4.253995707333452,0.001356608105422011,0.8537128794183741,11,15,5
auc_awal_uci,1.3643605191864412,0.30307845302492664,4.501674419838185,0.0008987283031762712,0.8537128794183741,11,15,5
mamba2,-0.0405555606280571,0.015767862355689406,-2.5720392348188987,0.02595591360216837,0.8537128794183741,11,15,5
mamba3,-0.017245614424106936,0.018754669252312,-0.9195371132434643,0.37753844461698344,0.8537128794183741,11,15,5
konstanta,-0.9806220634327256,0.20991980666561988,-4.671412759991501,8.001843598625498e-05,0.7122242964403114,26,30,10
auc_awal_uci,1.0892007941271526,0.22077081128456408,4.933626813207747,4.0037724964415597e-05,0.7122242964403114,26,30,10
mamba2,-0.03336162125853953,0.010536068620056831,-3.1664202713174414,0.003914934928301045,0.7122242964403114,26,30,10
mamba3,-0.02487573731335918,0.011778175794155249,-2.112019530707243,0.044448372710551326,0.7122242964403114,26,30,10
