besaran,rho_lantai,rho_atap,ambang,patch_size,epochs,seed,n_koalisi,strategi_latar,sumber
alpha,-0.0097565046120924,0.26885327839269346,0.12954838689030052,14,80,0,2048,nol,notebooks/05_atribusi_shapley.ipynb
phi,-0.008771489679971971,0.21482648593701895,0.10302749812852348,14,80,0,2048,nol,notebooks/05_atribusi_shapley.ipynb
