arsitektur,n_subjek,rho_alpha_median,rho_phi_median,selisih_berpasangan,ci_bawah,ci_atas,p_wilcoxon,n_alpha_lebih_besar
gru,52,0.08780549800049259,-0.10613448155292131,0.19214696712907747,0.08545025665768699,0.3741086427589896,3.260584555118629e-06,42
mamba2,52,0.287203302373581,-0.004655640235141908,0.33119757346222894,0.20345583209360296,0.42985347985348,1.2773484657555626e-07,43
mamba3,52,-1.9081958235744878e-17,0.0008888312850839138,-0.0034041024822412218,-0.12394371618400277,0.10459172882906055,0.8483318994237299,25
