arsitektur,peta,selisih,ci_bawah,ci_atas,p_permutasi,lolos_ambang,n_pd,n_hc
gru,alpha,0.14266051008608763,-0.011165370641975583,0.3521230498144533,0.41227938603069847,True,45,7
gru,phi,-0.028656534384088564,-0.08001125809175344,0.026687267810312262,0.4191290435478226,False,45,7
mamba2,alpha,0.21592917120459615,-0.06147827963958516,0.3120753549428604,0.24863756812159393,True,45,7
mamba2,phi,0.011177348980226428,-0.01574676657061083,0.03469850936207172,0.5811209439528023,False,45,7
mamba3,alpha,-0.34696989032192327,-0.5950964503305936,-0.16855052068674362,0.041947902604869754,False,45,7
mamba3,phi,0.0822269577687534,-0.02469959606956511,0.09872436688567243,0.08039598020098995,True,45,7
