arsitektur,uji,latih,auc_tahan_subjek,auc_naif,perancu_subjek,n_subjek,n_hc
mamba2,SST,DST+STCP,0.8633879781420766,0.8797814207650273,0.016393442622950727,76,15
mamba2,DST,SST+STCP,0.8573099415204679,0.9380116959064327,0.08070175438596483,72,15
mamba2,STCP,SST+DST,0.5319148936170213,0.14893617021276595,-0.3829787234042553,54,7
gru,SST,DST+STCP,0.8579234972677595,0.9344262295081966,0.07650273224043713,76,15
gru,DST,SST+STCP,0.8538011695906432,0.9228070175438596,0.0690058479532164,72,15
gru,STCP,SST+DST,0.46504559270516715,0.0851063829787234,-0.37993920972644374,54,7
mamba3,SST,DST+STCP,0.7453551912568306,0.887431693989071,0.14207650273224037,76,15
mamba3,DST,SST+STCP,0.8292397660818713,0.92046783625731,0.09122807017543866,72,15
mamba3,STCP,SST+DST,0.4194528875379939,0.851063829787234,0.4316109422492401,54,7
