arm_a,arm_b,selisih,p_welch,lolos_bonferroni,n_seed
mamba2,mamba3,0.022244623655914064,7.237190951339434e-05,True,16
mamba2,gru,0.011693548387096797,0.03278410904275526,False,16
mamba3,gru,-0.010551075268817267,0.022503404870327367,False,16
