arsitektur,tingkat,auc_rekaman,auc_subjek,subjek_bocor_per_fold
mamba2,subjek,0.8961844197138314,0.9344086021505376,0.0
mamba2,rekaman,0.931160572337043,0.970967741935484,35.0
gru,subjek,0.9003179650238473,0.9548387096774194,0.0
gru,rekaman,0.9047694753577107,0.9462365591397849,35.0
mamba3,subjek,0.8728139904610492,0.9365591397849462,0.0
mamba3,rekaman,0.8817170111287757,0.9365591397849463,35.0
