sekuens,fitur,selisih,p_welch
gru,regresi_logistik,-0.07993855606758841,4.2946487988455036e-05
mamba2,regresi_logistik,-0.13133640552995404,2.3382669458798513e-09
mamba3,regresi_logistik,-0.13643625192012304,6.292142562123131e-07
gru,svm_rbf,-0.06583717357910909,0.00018450626873056772
mamba2,svm_rbf,-0.11723502304147472,4.342513257396521e-09
mamba3,svm_rbf,-0.1223348694316437,1.5036942196111476e-06
gru,random_forest,-0.0498617511520737,0.0012928201219561807
mamba2,random_forest,-0.10125960061443932,1.354184897387409e-08
mamba3,random_forest,-0.10635944700460831,4.7565575293892564e-06
