arsitektur,seed_0,seed_1,seed_2,seed_3,seed_4,rata2,sd_antar_seed
mamba2,0.2693723243927023,0.25465869724800366,0.26340647127739303,0.22843153592893317,0.28673654627428313,0.26052111502426306,0.021436108860488107
gru,0.08572185104430474,0.2889612956619598,0.20765146989559058,0.12284335891147036,0.05355970139251873,0.15174753538116886,0.09590171929834279
mamba3,-0.64830929477826,-0.2051456238830044,-0.10308850535358832,-0.5539197039331646,-0.47158739093723606,-0.39641010377705066,0.23266594209510047
