keluarga,arsitektur,seed,auc,keselarasan_PD_HC,n_subjek,divergen,n_logit_tak_hingga
meander,mamba2,0,0.9050691244239633,-0.012077160396940997,66,,
meander,mamba2,1,0.8764976958525346,0.024736441489525786,66,,
meander,mamba2,2,0.9096774193548387,-0.01327836898773873,66,,
meander,mamba2,3,0.8986175115207373,-0.007292836268869285,66,,
meander,mamba2,4,0.9235023041474655,-0.03967699598038206,66,,
meander,gru,0,0.9069124423963133,0.002182983510458418,66,,
meander,gru,1,0.8341013824884792,-0.003136372440267241,66,,
meander,gru,2,0.871889400921659,-0.232958570584388,66,,
meander,gru,3,0.872811059907834,-0.0788628395960235,66,,
meander,gru,4,0.87926267281106,0.037711895346333964,66,,
meander,mamba3,0,0.8617511520737328,0.03537618865792378,66,,
meander,mamba3,1,0.895852534562212,-0.007270542145478932,66,,
meander,mamba3,2,0.9179723502304147,-0.023620598618768966,66,,
meander,mamba3,3,0.9087557603686636,0.035291825075800094,66,,
meander,mamba3,4,0.919815668202765,0.05257536943871136,66,,
dia,mamba2,0,0.8847926267281105,0.04329995763216537,66,,
dia,mamba2,1,0.9105990783410138,-0.007899101887298924,66,,
dia,mamba2,2,0.8940092165898618,-0.03468539206452251,66,,
dia,mamba2,3,0.8525345622119815,0.0038376300737698495,66,,
dia,mamba2,4,0.8894009216589862,0.0218570413193145,66,,
dia,gru,0,0.8599078341013825,0.0019488727053522756,66,,
dia,gru,1,0.8525345622119815,0.02380793602390848,66,,
dia,gru,2,0.8184331797235024,0.02347389243735038,66,,
dia,gru,3,0.840552995391705,0.017737473804630213,66,,
dia,gru,4,0.8866359447004608,0.011823253248864797,66,,
dia,mamba3,0,0.7548387096774194,0.00946749250457931,66,,
dia,mamba3,1,0.8276497695852535,0.025357285572347246,66,,
dia,mamba3,2,0.8534562211981567,0.03570387862335783,66,False,0.0
dia,mamba3,3,0.8700460829493087,0.02726854646437494,66,False,0.0
dia,mamba3,4,0.8451612903225807,0.03815831857419478,66,False,0.0
