arsitektur,alpha vs penanda,phi vs penanda,alpha vs phi
mamba2,0.21592917120459615,0.011177348980226428,0.060541743037259343
gru,0.14266051008608763,-0.028656534384088564,0.10286256581746578
mamba3,-0.34696989032192327,0.0822269577687534,0.019962438535520096
