arsitektur,delta,ci_bawah,ci_atas,unit,n_boot
gru,0.04116743471582185,-0.03323832827865086,0.12888979971641246,subjek,5000
mamba2,-0.002918586789554367,-0.08885689968438916,0.07130800428640759,subjek,5000
mamba3,0.005376344086021501,-0.10452981352722818,0.1082612907262467,subjek,5000
