arm_a,arm_b,selisih,ci_bawah,ci_atas,t,df,p_welch,alfa,primer,nyata,n_seed
mamba2,gru,-0.07781874039938563,-0.11796087176166895,-0.03767660903710233,-5.00952044496992,4.914334413436082,0.004271206516810908,0.05,True,True,5
mamba3,gru,-0.07622119815668212,-0.13770782012714805,-0.01473457618621618,-2.9254644818530933,7.069302846523601,0.02192322691814049,0.025,False,True,5
mamba2,mamba3,-0.00159754224270352,-0.0606210671217875,0.05742598263638046,-0.07234565985237044,4.431940545429293,0.9454760477572102,0.025,False,False,5
