arsitektur,auc,sensitivitas,spesifisitas,n_subjek,auc_ci_bawah,auc_ci_atas
mamba2,0.9516129032258065,0.9838709677419355,0.6666666666666666,77,0.8840295244939514,0.9944455922865014
gru,0.9634408602150538,0.967741935483871,0.6666666666666666,77,0.9076881720430108,0.9975995606575964
mamba3,0.9365591397849462,0.9838709677419355,0.6,77,0.835571099407505,0.9940320456540825
