arsitektur,n_subjek,rho_alpha,rho_phi,selisih,ci_bawah,ci_atas,p_wilcoxon,alpha_lebih_besar
gru,72,-0.010309156245097756,0.004719040981227196,0.004481682721750839,-0.0420596893117651,0.03646745467924703,0.9195419809140807,36
mamba2,72,0.012676273837367736,0.005613190619625621,0.022246377518116645,-0.04466240364990261,0.04601116352163501,0.7747272941928189,37
mamba3,72,0.019205902000303345,0.00567391964864958,0.015123060168022326,-0.02437015172315278,0.04256228234350233,0.5978462596987015,37
