arsitektur,auc_asli,auc_bobot_diacak,auc_mean_pooling,geser_logit_median,korelasi_logit
mamba2,0.935483870967742,0.8655913978494624,0.9258064516129032,4.8054633140563965,0.7103573843343894
gru,0.9548387096774194,0.9397849462365592,0.9666666666666668,3.2033159732818604,0.8340221524782335
mamba3,0.9408602150537635,0.9258064516129032,0.9236559139784946,2.2197084426879883,0.855493132105279
