arsitektur,auc_beku,sb_beku,n_seed_beku,auc_disetel,sb_disetel,n_seed_disetel,selisih,p_beku_vs_disetel
gru,0.9503225806451614,0.015588719746923054,10,0.9345430107526882,0.01382532570270347,16,-0.0157795698924732,0.01760076703999383
mamba2,0.9337634408602151,0.017153449339543717,10,0.946236559139785,0.015651226207473678,16,0.012473118279569873,0.07868052317100038
mamba3,0.921290322580645,0.02399453524797185,10,0.9239919354838709,0.010700365530405717,16,0.002701612903225903,0.7431948549128783
