arsitektur,n_subjek,rho_alpha,rho_phi,selisih,ci_bawah,ci_atas,p_wilcoxon,alpha_lebih_besar
gru,66,0.0307685635629401,-0.012206501803271402,0.04223641717442531,0.02048486336544589,0.06927457623601987,4.000321054927287e-07,49
mamba2,66,-0.0033485575115349076,-0.018104579108851594,0.016195432639053355,-0.006201021896958431,0.028023639969748604,0.08514419723719029,39
mamba3,66,-0.009422776392030072,-0.039985136187679224,0.034720618992501576,0.018789636248975512,0.04952927177930014,6.110021042662421e-05,49
