konfigurasi,kesetiaan_median,n_rekaman,gini_phi
"primer: mamba2, P=7, latar nol",0.07526524103761496,207,0.6840958213000319
"primer: gru, P=7, latar nol",0.1289248072232644,207,0.7090859576462976
"ablasi latar: mamba2, P=7, latar median_lokal",0.1075183130536059,51,0.7371440493313881
"resolusi kasar: mamba2, P=56",0.45087853323147437,51,0.6211269175476708
"resolusi kasar: gru, P=56",0.4591036414565826,51,0.712393107079885
"primer: mamba3, P=7, latar nol",0.03994160929221333,207,0.7145044882855522
"resolusi kasar: mamba3, P=56",0.383399209486166,51,0.6582583185252833
