arsitektur,delta,sb_delta,rasio,degradasi,n_seed
gru,0.05447004608294932,0.034359665173338653,0.9429507317849966,0.057049268215003404,10
mamba2,0.003072196620583689,0.017813148359480925,0.9969103718998091,0.00308962810019087,10
mamba3,-0.0020276497695852934,0.03511296594510739,1.0030121647099157,-0.003012164709915682,10
