patch,arsitektur,seed,batch,auc
2,mamba2,0,8,0.9806451612903226
2,mamba2,1,8,0.9559139784946237
2,mamba2,2,8,0.9623655913978495
2,gru,0,8,0.9516129032258065
2,gru,1,8,0.9505376344086022
2,gru,2,8,0.9559139784946237
2,mamba3,0,8,0.9322580645161291
2,mamba3,1,8,0.9301075268817205
2,mamba3,2,8,0.910752688172043
1,mamba2,0,8,0.9043010752688172
1,mamba2,1,8,0.9440860215053762
1,mamba2,2,8,0.9311827956989247
1,gru,0,8,0.9344086021505377
1,gru,1,8,0.9118279569892473
1,gru,2,8,0.9548387096774194
1,mamba3,0,8,0.9440860215053763
1,mamba3,1,8,0.8892473118279569
1,mamba3,2,8,0.9333333333333333
