arsitektur,auc_newhandpd,sd_antar_seed,auc_uci395,selisih
mamba2,0.9306912442396313,0.014597299048011457,0.9516129032258064,-0.02092165898617504
gru,0.8958525345622119,0.02925531393454355,0.9634408602150538,-0.0675883256528419
mamba3,0.9233179723502305,0.01871671339405569,0.9365591397849462,-0.013241167434715706
