patch,arsitektur,auc,sensitivitas,spesifisitas,gini_alpha,n_patch_median,durasi_ms
4,mamba2,0.9019077901430842,0.9411764705882353,0.5945945945945946,0.7155882760821994,390,40
4,gru,0.9131955484896661,0.9117647058823529,0.7297297297297297,0.8278782951664461,390,40
7,mamba2,0.9055643879173292,0.9235294117647059,0.6486486486486487,0.8115769881637589,222,70
7,gru,0.8893481717011129,0.9,0.6216216216216216,0.8451820162858046,222,70
14,mamba2,0.8872813990461049,0.9352941176470588,0.5945945945945946,0.8107629218438739,111,140
14,gru,0.90302066772655,0.9352941176470588,0.6486486486486487,0.6395588672887806,111,140
56,mamba2,0.8829888712241654,0.9411764705882353,0.6756756756756757,0.7585901715176335,27,560
56,gru,0.9077901430842608,0.9529411764705882,0.7297297297297297,0.7916047624314135,27,560
