pembanding,median_PD,median_HC,selisih,p_permutasi
penanda tremor,0.0016019398692136062,-0.009575409111012822,0.011177348980226428,0.5807096451774113
energi gerak total,0.04725210584142099,4.3558093093692964e-05,0.0472085477483273,0.09395302348825588
jerk (penanda cadangan),-0.014858837895132662,-0.04273048932491656,0.0278716514297839,0.45377311344327836
