suku,koef,se,p,r2,df,n,luaran,kedudukan
konstanta,0.9806220634327262,0.20991980666561996,8.00184359861511e-05,0.3495377569768555,26,30,M_lintas,sensitivitas
M_asal,-0.08920079412715332,0.2207708112845642,0.6894857337697069,0.3495377569768555,26,30,M_lintas,sensitivitas
BiMamba-2,0.033361621258539434,0.010536068620056835,0.003914934928301195,0.3495377569768555,26,30,M_lintas,sensitivitas
BiMamba-3,0.02487573731335922,0.011778175794155254,0.04444837271055091,0.3495377569768555,26,30,M_lintas,sensitivitas
