tugas,besaran,auc,ci_bawah,ci_atas,pd_median,hc_median,n_pd,n_hc,catatan
SST,durasi,0.3666666666666666,0.22926027265745005,0.5161370726530086,1629.0,2115.0,61,15,
SST,fraksi_sentuh,0.5245901639344263,0.44166666666666665,0.6275946275946276,1.0,1.0,61,15,
DST,durasi,0.30292397660818715,0.17980142695711301,0.4396445703374494,1490.0,2168.0,57,15,
DST,fraksi_sentuh,0.4701754385964912,0.4051724137931034,0.5551415797317436,1.0,1.0,57,15,
STCP,durasi,0.8085106382978723,0.6888888888888889,0.9148936170212766,1331.0,1077.0,47,7,
STCP,fraksi_sentuh,0.8829787234042553,0.8200000000000001,0.9387755102040816,0.737506575486586,0.0,47,7,
STCP,durasi_tanpa_terpecah,0.8222222222222222,0.7045454545454546,0.9285714285714286,,,45,7,2 subjek PD terpecah dibuang
