arm_a,arm_b,selisih,ci_bawah,ci_atas,memuat_nol,unit
mamba2,gru,-0.043088769245958336,-0.10852962738920535,0.011410056638410996,True,subjek
mamba3,gru,-0.035541845747347985,-0.10108210104458788,0.016438694067370516,True,subjek
mamba2,mamba3,-0.007546923498610354,-0.05589285899570953,0.03095092912940845,True,subjek
