arsitektur,seed,auc_asli,auc_bobot_diacak,auc_mean_pooling,turun_saat_diacak,atensi_minus_mean,geser_logit_median
gru,0,0.9548387096774194,0.9408602150537635,0.9666666666666668,0.013978494623655857,-0.011827956989247435,3.2020211219787598
gru,1,0.9526881720430108,0.9397849462365592,0.9612903225806453,0.012903225806451646,-0.008602150537634468,2.3245320320129395
gru,2,0.9655913978494624,0.9129032258064517,0.967741935483871,0.052688172043010684,-0.0021505376344086446,1.9125165939331055
gru,3,0.9763440860215055,0.9032258064516129,0.970967741935484,0.07311827956989259,0.005376344086021501,3.855720281600952
gru,4,0.9419354838709677,0.9225806451612903,0.9526881720430108,0.019354838709677358,-0.010752688172043112,1.5019903182983398
gru,5,0.9204301075268817,0.9225806451612903,0.9634408602150538,-0.0021505376344086446,-0.043010752688172116,2.399224281311035
gru,6,0.9408602150537635,0.867741935483871,0.9645161290322581,0.07311827956989247,-0.023655913978494647,1.8927924633026123
gru,7,0.9559139784946237,0.9075268817204301,0.9698924731182796,0.048387096774193616,-0.013978494623655968,1.9233999252319336
gru,8,0.9559139784946237,0.932258064516129,0.9548387096774194,0.023655913978494647,0.0010752688172043223,3.927863597869873
gru,9,0.9387096774193548,0.9505376344086022,0.9537634408602151,-0.011827956989247324,-0.01505376344086029,2.0479767322540283
mamba2,0,0.9397849462365592,0.8731182795698924,0.924731182795699,0.06666666666666676,0.01505376344086018,4.825838088989258
mamba2,1,0.9311827956989248,0.9129032258064518,0.910752688172043,0.018279569892473035,0.02043010752688179,5.492980003356934
mamba2,2,0.9268817204301075,0.8440860215053764,0.9494623655913978,0.08279569892473115,-0.022580645161290325,4.320596218109131
mamba2,3,0.9279569892473118,0.9193548387096774,0.9419354838709678,0.008602150537634468,-0.013978494623655968,5.744143486022949
mamba2,4,0.9365591397849462,0.917204301075269,0.8913978494623656,0.019354838709677247,0.04516129032258065,4.386312484741211
mamba2,5,0.9032258064516129,0.9021505376344087,0.910752688172043,0.0010752688172042113,-0.007526881720430145,6.214000225067139
mamba2,6,0.9741935483870968,0.8913978494623658,0.9591397849462366,0.08279569892473104,0.01505376344086018,6.988908767700195
mamba2,7,0.9268817204301075,0.8548387096774194,0.935483870967742,0.07204301075268815,-0.008602150537634468,7.216094970703125
mamba2,8,0.964516129032258,0.8978494623655914,0.9387096774193548,0.06666666666666665,0.02580645161290318,5.8125810623168945
mamba2,9,0.9344086021505377,0.8397849462365592,0.9096774193548388,0.09462365591397848,0.02473118279569886,6.975629806518555
mamba3,0,0.9387096774193548,0.9301075268817205,0.9010752688172043,0.008602150537634357,0.037634408602150504,2.1687302589416504
mamba3,1,0.867741935483871,0.8150537634408602,0.910752688172043,0.052688172043010795,-0.043010752688172005,2.292120933532715
mamba3,2,0.9150537634408602,0.8849462365591398,0.9236559139784946,0.03010752688172036,-0.008602150537634357,3.8906002044677734
mamba3,3,0.9139784946236559,0.8956989247311828,0.946236559139785,0.018279569892473035,-0.032258064516129115,1.7460803985595703
mamba3,4,0.9333333333333333,0.8666666666666667,0.9236559139784947,0.06666666666666665,0.009677419354838679,3.679898500442505
mamba3,5,0.9032258064516129,0.8516129032258064,0.8709677419354839,0.05161290322580647,0.032258064516129004,3.1348090171813965
mamba3,6,0.9032258064516129,0.8655913978494624,0.913978494623656,0.037634408602150504,-0.010752688172043112,2.2579541206359863
mamba3,7,0.9279569892473118,0.9193548387096775,0.943010752688172,0.008602150537634357,-0.01505376344086018,1.6368842124938965
mamba3,8,0.9580645161290322,0.910752688172043,0.9365591397849462,0.04731182795698918,0.021505376344086002,1.7511954307556152
mamba3,9,0.9279569892473118,0.8688172043010753,0.9365591397849462,0.05913978494623651,-0.008602150537634357,2.1365580558776855
