arm_a,arm_b,selisih,ci_bawah,ci_atas,t,df,p_welch,alfa,primer,nyata,n_seed
mamba2,gru,-0.07781874039938552,-0.11796087176166885,-0.037676609037102196,-5.009520444969913,4.914334413436076,0.0042712065168109496,0.05,True,True,5
mamba3,gru,-0.07622119815668207,-0.137707820127148,-0.014734576186216153,-2.925464481853093,7.069302846523602,0.02192322691814051,0.025,False,True,5
mamba2,mamba3,-0.0015975422427034576,-0.06062106712178742,0.05742598263638051,-0.07234565985236767,4.43194054542929,0.9454760477572122,0.025,False,False,5
mamba2,gru,-0.05139784946236558,-0.07773680433138028,-0.025058894593350877,-4.199564781160636,13.511954844027805,0.0009595146519267391,0.05,True,True,10
mamba3,gru,-0.05649769585253458,-0.08913759834752868,-0.02385779335754048,-3.63669146923866,17.99154067793285,0.0018878999296976908,0.025,False,True,10
mamba2,mamba3,0.005099846390169001,-0.021728040671917526,0.031927733452255525,0.40959931174953856,13.34475799312563,0.6885987112492296,0.025,False,False,10
