arsitektur,auc_rekaman_subjekfold,auc_rekaman_rekamanfold,penggelembungan
mamba2,0.8961844197138314,0.931160572337043,0.03497615262321152
gru,0.9003179650238473,0.9047694753577107,0.004451510333863373
mamba3,0.8728139904610492,0.8817170111287757,0.008903020667726413
