arm_a,arm_b,turun_a,turun_b,selisih,t,df,p_welch,alfa,nyata,n_seed
mamba2,gru,0.05129032258064512,0.03032258064516129,0.02096774193548383,1.4327351728484867,17.527765527950987,0.16952850219359675,0.05,False,10
mamba3,gru,0.03806451612903222,0.03032258064516129,0.007741935483870931,0.6706910285986001,16.099891767299926,0.5119248171174894,0.025,False,10
mamba2,mamba3,0.05129032258064512,0.03806451612903222,0.0132258064516129,1.019177592971125,14.622752625108319,0.32468563061497757,0.025,False,10
