arsitektur,peta,median_pd,median_hc,selisih,ci_bawah,ci_atas,p_permutasi,lolos_ambang_pinjaman,n_pd,n_hc
gru,alpha,-0.003988150655222625,0.07622230178083514,-0.08021045243605776,-0.15413094736319877,-0.03771752942428288,0.0027994401119776045,False,31,35
gru,phi,-0.02560615817295141,0.005144726820938447,-0.03075088499388986,-0.04694018224877299,-0.014549008089641281,0.001799640071985603,False,31,35
mamba2,alpha,-0.006417327870144894,0.0034079586787825237,-0.009825286548927418,-0.028260191952839943,0.01139355406157765,0.3121375724855029,False,31,35
mamba2,phi,-0.016707853804721562,-0.01949126354374067,0.002783409739019107,-0.010951880213298012,0.014679484408444703,0.73625274945011,False,31,35
mamba3,alpha,-0.013581932365913443,-0.005338002735158309,-0.008243929630755134,-0.04620621490696725,0.016001141868583348,0.4901019796040792,False,31,35
mamba3,phi,-0.016257303457743344,-0.04844753397880304,0.032190230521059696,-0.0014158836533740907,0.04500468606769745,0.033193361327734455,False,31,35
