model,jenis,auc_uci,auc_newhandpd,sb_newhandpd,kehilangan
regresi_logistik,fitur agregat,0.99247311827957,0.8580645161290322,0.0,0.13440860215053774
svm_rbf,fitur agregat,0.9660215053763442,0.8457142857142855,0.0024901854536601817,0.12030721966205841
random_forest,fitur agregat,1.0,0.8956682027649769,0.0021017058527173197,0.10433179723502302
gru,model sekuens,0.9503225806451614,0.8958525345622121,0.029255313934543573,0.05447004608294932
mamba2,model sekuens,0.9337634408602151,0.9306912442396312,0.014597299048011459,0.003072196620583689
mamba3,model sekuens,0.921290322580645,0.9233179723502305,0.018716713394055656,-0.0020276497695852934
