bentuk,arm_a,arm_b,selisih,ci_bawah,ci_atas,t,df,p_welch,n_a,n_b,dasar_a,dasar_b,selisih_dasar,p_keseimbangan_dasar,alfa,primer,nyata,jarak_dasar_median
dukungan_bersama,mamba2,gru,-0.03872613561553653,-0.06487732368525723,-0.012574947545815833,-3.2097087667805537,12.594039123257913,0.007089588344361998,7,8,0.9414746543778801,0.9451612903225806,-0.0036866359447004227,0.6068430154492815,0.05,True,True,
pasangan_terdekat,mamba2,gru,-0.050288018433179746,-0.082594166926299,-0.017981869940060492,-3.4593351228668108,10.195735697279432,0.005958185270411826,8,8,0.9379032258064516,0.9463709677419354,-0.00846774193548383,0.2901927041804209,0.05,True,True,0.01021505376344084
dukungan_bersama,mamba3,gru,-0.019719662058371747,-0.04830856190301057,0.00886923778626707,-1.648037627141375,6.660621838674431,0.1455161099394174,8,4,0.9313172043010752,0.935483870967742,-0.004166666666666763,0.5051854503298171,0.025,False,False,
pasangan_terdekat,mamba3,gru,-0.032301953039280316,-0.059614667784682426,-0.00498923829387821,-2.6445408607899377,9.744757578896795,0.025048955683574615,7,7,0.9313364055299538,0.9436251920122888,-0.012288786482335001,0.05614497824224914,0.025,False,False,0.012903225806451757
dukungan_bersama,mamba2,mamba3,-0.013940092165898563,-0.0324318535271859,0.004551669195388776,-1.6594965396058496,10.985100658694686,0.12526273732675117,8,8,0.9272849462365591,0.9313172043010752,-0.0040322580645161255,0.43088779117917214,0.025,False,False,
pasangan_terdekat,mamba2,mamba3,-0.013940092165898563,-0.0324318535271859,0.004551669195388779,-1.6594965396058496,10.985100658694689,0.12526273732675114,8,8,0.9272849462365591,0.9313172043010752,-0.0040322580645161255,0.43088779117917214,0.025,False,False,0.005913978494623773
