arsitektur,kontras,ci_bawah,ci_atas,p_bootstrap
gru,0.1713170444701762,0.008320517765084537,0.3954963220429313,0.0405959404059594
mamba2,0.20475182222436972,-0.07428493269224273,0.30878469393832636,0.16898310168983102
mamba3,-0.42919684809067665,-0.6831528212043019,-0.20854027451552687,0.0005999400059994001
