arm_a,arm_b,status,selisih_delta,ci_bawah,ci_atas,p_permutasi,ambang,nyata,n_seed
mamba2,gru,konfirmatori apriori,-0.051397849462365634,-0.0745322580645162,-0.028924347158218167,0.00029997000299970003,0.05,True,10
mamba2,mamba3,eksploratori,0.005099846390168982,-0.016006912442396222,0.030077188940092175,0.7188281171882812,0.025,False,10
mamba3,gru,eksploratori,-0.05649769585253461,-0.08711290322580648,-0.02910867895545321,0.0005999400059994001,0.025,True,10
