arsitektur,n_subjek,rho_median,rho_q25,rho_q75,frac_positif
mamba2,77,0.08105881924999145,0.009819629698231868,0.1602598892618604,0.7922077922077922
gru,77,0.09946223723974655,0.0607550130920784,0.18313258695912796,0.8441558441558441
mamba3,77,0.05072884998490288,-0.01814084713796236,0.08627887306150545,0.7142857142857143
